method,formal_seed,epsilon,hit,first_hit_depth,first_hit_work,first_hit_stat_proxy,censor_depth,censor_work,capped_depth,capped_work
NOG-ZO,6,0.008,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,6,0.007,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,6,0.006,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,6,0.005,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,6,0.004,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,6,0.003,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,6,0.002,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,7,0.2,True,104.0,106496.0,0.1966875493526458,960.0,983040.0,104.0,106496.0
NOG-ZO,7,0.18,True,120.0,122880.0,0.1788702458143234,960.0,983040.0,120.0,122880.0
NOG-ZO,7,0.16,True,140.0,143360.0,0.1552038490772247,960.0,983040.0,140.0,143360.0
NOG-ZO,7,0.14,True,152.0,155648.0,0.1382365971803665,960.0,983040.0,152.0,155648.0
NOG-ZO,7,0.12,True,168.0,172032.0,0.1160878986120224,960.0,983040.0,168.0,172032.0
NOG-ZO,7,0.1,True,180.0,184320.0,0.0988809093832969,960.0,983040.0,180.0,184320.0
NOG-ZO,7,0.09,True,188.0,192512.0,0.0869622528553009,960.0,983040.0,188.0,192512.0
NOG-ZO,7,0.08,True,196.0,200704.0,0.075158953666687,960.0,983040.0,196.0,200704.0
NOG-ZO,7,0.07,True,200.0,204800.0,0.0696983486413955,960.0,983040.0,200.0,204800.0
NOG-ZO,7,0.06,True,208.0,212992.0,0.0581812299787998,960.0,983040.0,208.0,212992.0
NOG-ZO,7,0.05,True,216.0,221184.0,0.0463594198226928,960.0,983040.0,216.0,221184.0
NOG-ZO,7,0.04,True,224.0,229376.0,0.0353745222091674,960.0,983040.0,224.0,229376.0
NOG-ZO,7,0.03,True,232.0,237568.0,0.0253148581832647,960.0,983040.0,232.0,237568.0
NOG-ZO,7,0.025,True,236.0,241664.0,0.0209210570901632,960.0,983040.0,236.0,241664.0
NOG-ZO,7,0.02,True,240.0,245760.0,0.0178156103938817,960.0,983040.0,240.0,245760.0
NOG-ZO,7,0.018,True,240.0,245760.0,0.0178156103938817,960.0,983040.0,240.0,245760.0
NOG-ZO,7,0.016,True,244.0,249856.0,0.0151766175404191,960.0,983040.0,244.0,249856.0
NOG-ZO,7,0.015,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,7,0.014,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,7,0.013,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,7,0.012,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,7,0.0115,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,7,0.011,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,7,0.01075,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,7,0.0105,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,7,0.01025,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,7,0.01,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,7,0.0095,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,7,0.009,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,7,0.008,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,7,0.007,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,7,0.006,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,7,0.005,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,7,0.004,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,7,0.003,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,7,0.002,False,,,,960.0,983040.0,960.0,983040.0
